model,horizon,MAE,RMSE,MAPE,N
ARIMA,1,5941.866818648657,8067.649621863154,60.26272573023906,38
Additive,1,11148.872965147355,14726.44912823826,65.96644465285068,38
Hybrid,1,9414.951512793397,13948.336349443887,68.66206825470405,38
SARIMA,1,9051.806014551297,14571.588220470458,61.8376608834957,38
XGBoost,1,9194.80171278175,12752.75632493388,64.73453171547511,38
ARIMA,3,14133.011512147868,16783.55915488664,123.6169814370393,38
Additive,3,28216.990839489063,35610.62752418108,151.86739348666188,38
Hybrid,3,22898.816044468836,37670.80234743633,129.74179695734,38
SARIMA,3,18301.735684746272,28812.519893118882,123.45143109143393,38
XGBoost,3,17975.998481296807,23581.17539984612,103.32729140209345,38
ARIMA,6,20424.707249197283,24675.203848469184,54.933739980477405,38
Additive,6,74479.31318379981,218543.59143809273,295.13893073998474,38
Hybrid,6,27688.561277423378,43590.77050804415,62.48999500811215,38
SARIMA,6,25731.99083719377,39036.190120456566,59.80391642988231,38
XGBoost,6,27045.0102209381,33886.36611708267,51.84343593946144,38
ARIMA,12,37843.77901289176,43689.532259702035,52.02256315561499,38
Additive,12,79461.8283972323,116873.77808792448,196.4308282471782,38
Hybrid,12,42177.22283127361,54064.61956632002,58.95432834779963,38
SARIMA,12,39962.63444434413,47905.66842447348,58.00909714931145,38
XGBoost,12,41018.398489736945,47920.21181675472,54.35640321070912,38
