fold,origin_idx,train_start,train_end,train_points,test_start,test_end,test_points
1,72,2014-01-01,2019-12-01,72,2020-01-01,2020-12-01,12
2,73,2014-01-01,2020-01-01,73,2020-02-01,2021-01-01,12
3,74,2014-01-01,2020-02-01,74,2020-03-01,2021-02-01,12
4,75,2014-01-01,2020-03-01,75,2020-04-01,2021-03-01,12
5,76,2014-01-01,2020-04-01,76,2020-05-01,2021-04-01,12
6,77,2014-01-01,2020-05-01,77,2020-06-01,2021-05-01,12
7,78,2014-01-01,2020-06-01,78,2020-07-01,2021-06-01,12
8,79,2014-01-01,2020-07-01,79,2020-08-01,2021-07-01,12
9,80,2014-01-01,2020-08-01,80,2020-09-01,2021-08-01,12
10,81,2014-01-01,2020-09-01,81,2020-10-01,2021-09-01,12
11,82,2014-01-01,2020-10-01,82,2020-11-01,2021-10-01,12
12,83,2014-01-01,2020-11-01,83,2020-12-01,2021-11-01,12
13,84,2014-01-01,2020-12-01,84,2021-01-01,2021-12-01,12
14,85,2014-01-01,2021-01-01,85,2021-02-01,2022-01-01,12
15,86,2014-01-01,2021-02-01,86,2021-03-01,2022-02-01,12
16,87,2014-01-01,2021-03-01,87,2021-04-01,2022-03-01,12
17,88,2014-01-01,2021-04-01,88,2021-05-01,2022-04-01,12
18,89,2014-01-01,2021-05-01,89,2021-06-01,2022-05-01,12
19,90,2014-01-01,2021-06-01,90,2021-07-01,2022-06-01,12
20,91,2014-01-01,2021-07-01,91,2021-08-01,2022-07-01,12
21,92,2014-01-01,2021-08-01,92,2021-09-01,2022-08-01,12
22,93,2014-01-01,2021-09-01,93,2021-10-01,2022-09-01,12
23,94,2014-01-01,2021-10-01,94,2021-11-01,2022-10-01,12
24,95,2014-01-01,2021-11-01,95,2021-12-01,2022-11-01,12
25,96,2014-01-01,2021-12-01,96,2022-01-01,2022-12-01,12
26,97,2014-01-01,2022-01-01,97,2022-02-01,2023-01-01,12
27,98,2014-01-01,2022-02-01,98,2022-03-01,2023-02-01,12
28,99,2014-01-01,2022-03-01,99,2022-04-01,2023-03-01,12
29,100,2014-01-01,2022-04-01,100,2022-05-01,2023-04-01,12
30,101,2014-01-01,2022-05-01,101,2022-06-01,2023-05-01,12
31,102,2014-01-01,2022-06-01,102,2022-07-01,2023-06-01,12
32,103,2014-01-01,2022-07-01,103,2022-08-01,2023-07-01,12
33,104,2014-01-01,2022-08-01,104,2022-09-01,2023-08-01,12
34,105,2014-01-01,2022-09-01,105,2022-10-01,2023-09-01,12
35,106,2014-01-01,2022-10-01,106,2022-11-01,2023-10-01,12
36,107,2014-01-01,2022-11-01,107,2022-12-01,2023-11-01,12
37,108,2014-01-01,2022-12-01,108,2023-01-01,2023-12-01,12
38,109,2014-01-01,2023-01-01,109,2023-02-01,2024-01-01,12
