fold,model,runtime_sec
1,ARIMA,0.0561
1,SARIMA,0.3992
1,Additive,0.0083
1,XGBoost,0.2297
1,Hybrid,0.5362
2,ARIMA,0.1047
2,SARIMA,0.3541
2,Additive,0.0079
2,XGBoost,0.0887
2,Hybrid,0.4791
3,ARIMA,0.1094
3,SARIMA,0.3864
3,Additive,0.0082
3,XGBoost,0.0954
3,Hybrid,0.5204
4,ARIMA,0.1044
4,SARIMA,0.2907
4,Additive,0.008
4,XGBoost,0.0962
4,Hybrid,0.4287
5,ARIMA,0.0842
5,SARIMA,0.1941
5,Additive,0.0082
5,XGBoost,0.0891
5,Hybrid,0.3133
6,ARIMA,0.047
6,SARIMA,0.2925
6,Additive,0.0085
6,XGBoost,0.1092
6,Hybrid,0.3999
7,ARIMA,0.069
7,SARIMA,0.2667
7,Additive,0.0083
7,XGBoost,0.0885
7,Hybrid,0.3907
8,ARIMA,0.0462
8,SARIMA,0.2842
8,Additive,0.0083
8,XGBoost,0.0902
8,Hybrid,0.3922
9,ARIMA,0.0445
9,SARIMA,0.2206
9,Additive,0.0089
9,XGBoost,0.0919
9,Hybrid,0.3217
10,ARIMA,0.0485
10,SARIMA,0.1925
10,Additive,0.0085
10,XGBoost,0.0925
10,Hybrid,0.2965
11,ARIMA,0.0498
11,SARIMA,0.2144
11,Additive,0.0087
11,XGBoost,0.0974
11,Hybrid,0.3267
12,ARIMA,0.0506
12,SARIMA,0.1733
12,Additive,0.0088
12,XGBoost,0.1157
12,Hybrid,0.2894
13,ARIMA,0.0446
13,SARIMA,0.1822
13,Additive,0.0087
13,XGBoost,0.088
13,Hybrid,0.2862
14,ARIMA,0.0453
14,SARIMA,0.3355
14,Additive,0.0086
14,XGBoost,0.091
14,Hybrid,0.4499
15,ARIMA,0.0504
15,SARIMA,0.1775
15,Additive,0.0089
15,XGBoost,0.1264
15,Hybrid,0.283
16,ARIMA,0.0442
16,SARIMA,0.1967
16,Additive,0.009
16,XGBoost,0.0879
16,Hybrid,0.302
17,ARIMA,0.0487
17,SARIMA,0.2905
17,Additive,0.0089
17,XGBoost,0.0961
17,Hybrid,0.3913
18,ARIMA,0.0454
18,SARIMA,0.1951
18,Additive,0.0087
18,XGBoost,0.0914
18,Hybrid,0.3036
19,ARIMA,0.0491
19,SARIMA,0.218
19,Additive,0.0093
19,XGBoost,0.0886
19,Hybrid,0.3451
20,ARIMA,0.0511
20,SARIMA,0.222
20,Additive,0.0092
20,XGBoost,0.0914
20,Hybrid,0.3277
21,ARIMA,0.0457
21,SARIMA,0.2258
21,Additive,0.0092
21,XGBoost,0.1009
21,Hybrid,0.3355
22,ARIMA,0.0388
22,SARIMA,0.2222
22,Additive,0.0094
22,XGBoost,0.0961
22,Hybrid,0.3303
23,ARIMA,0.0471
23,SARIMA,0.235
23,Additive,0.0094
23,XGBoost,0.0946
23,Hybrid,0.34
24,ARIMA,0.044
24,SARIMA,0.2037
24,Additive,0.0092
24,XGBoost,0.0993
24,Hybrid,0.353
25,ARIMA,0.048
25,SARIMA,0.2281
25,Additive,0.0095
25,XGBoost,0.1022
25,Hybrid,0.3468
26,ARIMA,0.0468
26,SARIMA,0.1742
26,Additive,0.0096
26,XGBoost,0.0967
26,Hybrid,0.2842
27,ARIMA,0.0457
27,SARIMA,0.2099
27,Additive,0.0097
27,XGBoost,0.0952
27,Hybrid,0.3072
28,ARIMA,0.0449
28,SARIMA,0.2041
28,Additive,0.0099
28,XGBoost,0.098
28,Hybrid,0.3138
29,ARIMA,0.0566
29,SARIMA,0.2338
29,Additive,0.0098
29,XGBoost,0.0955
29,Hybrid,0.3521
30,ARIMA,0.0493
30,SARIMA,0.1795
30,Additive,0.01
30,XGBoost,0.1008
30,Hybrid,0.3123
31,ARIMA,0.054
31,SARIMA,0.3231
31,Additive,0.0101
31,XGBoost,0.0916
31,Hybrid,0.4416
32,ARIMA,0.0512
32,SARIMA,0.5112
32,Additive,0.0102
32,XGBoost,0.1095
32,Hybrid,0.6405
33,ARIMA,0.0462
33,SARIMA,0.4092
33,Additive,0.0101
33,XGBoost,0.0965
33,Hybrid,0.4995
34,ARIMA,0.0469
34,SARIMA,0.3051
34,Additive,0.0103
34,XGBoost,0.1533
34,Hybrid,0.4662
35,ARIMA,0.0526
35,SARIMA,0.3174
35,Additive,0.0102
35,XGBoost,0.1033
35,Hybrid,0.4332
36,ARIMA,0.0448
36,SARIMA,0.4913
36,Additive,0.0099
36,XGBoost,0.1003
36,Hybrid,0.6153
37,ARIMA,0.0505
37,SARIMA,0.4104
37,Additive,0.0102
37,XGBoost,0.0965
37,Hybrid,0.549
38,ARIMA,0.0494
38,SARIMA,0.3518
38,Additive,0.0108
38,XGBoost,0.1668
38,Hybrid,0.4851
