Dataset,Rows,Model,Run,Training Time (s),Inference Time (ms/batch),Peak Memory (MB),Status
Small (10k),10000,ARIMA,1,1.0830018999999993,2.804000000196538,180.63671875,ok
Small (10k),10000,ARIMA,2,1.064640099999906,2.6461999998446117,180.828125,ok
Small (10k),10000,ARIMA,3,1.048197799999798,2.507299999933821,180.59765625,ok
Small (10k),10000,ARIMA,4,1.0860044999999445,3.134900000077323,180.7109375,ok
Small (10k),10000,ARIMA,5,1.154741599999852,2.8406000001268694,180.61328125,ok
Small (10k),10000,Additive(ETS),1,1.0808364000001802,72.73719999989225,167.46484375,ok
Small (10k),10000,Additive(ETS),2,1.1153584000001047,77.40439999997761,167.55078125,ok
Small (10k),10000,Additive(ETS),3,1.1207483999999113,70.48860000008972,167.56640625,ok
Small (10k),10000,Additive(ETS),4,1.0897680000000491,74.69700000001467,167.56640625,ok
Small (10k),10000,Additive(ETS),5,1.1184951000000183,72.37249999980122,167.56640625,ok
Small (10k),10000,SARIMA,1,28.37558530000001,4.840000000058353,872.8515625,ok
Small (10k),10000,SARIMA,2,28.39400899999987,3.9454999998724816,873.76953125,ok
Small (10k),10000,SARIMA,3,27.69622860000004,4.425699999956123,873.19140625,ok
Small (10k),10000,SARIMA,4,27.098645199999964,4.11460000009356,873.05078125,ok
Small (10k),10000,SARIMA,5,27.363857400000143,4.347999999936292,872.98828125,ok
Small (10k),10000,XGBoost,1,0.328095200000007,61.30750000011176,275.12890625,ok
Small (10k),10000,XGBoost,2,0.2268861999998535,57.08499999991545,276.0078125,ok
Small (10k),10000,XGBoost,3,0.2469568999999865,59.19650000009824,276.91796875,ok
Small (10k),10000,XGBoost,4,0.2266637999998693,56.023999999979424,277.53125,ok
Small (10k),10000,XGBoost,5,0.22635030000014922,55.79699999998411,277.90625,ok
Medium (50k),50000,ARIMA,1,5.8582183999999415,3.032500000017535,352.65234375,ok
Medium (50k),50000,ARIMA,2,5.785728199999994,2.922299999909228,352.484375,ok
Medium (50k),50000,ARIMA,3,5.7946624999999585,2.662800000052812,352.37890625,ok
Medium (50k),50000,ARIMA,4,6.161501000000044,3.036000000065542,352.375,ok
Medium (50k),50000,ARIMA,5,6.494068599999991,3.8791000001765497,352.390625,ok
Medium (50k),50000,Additive(ETS),1,7.43005630000016,422.43939999980284,120.16796875,ok
Medium (50k),50000,Additive(ETS),2,7.507381500000065,488.6351000000104,120.859375,ok
Medium (50k),50000,Additive(ETS),3,7.30538660000002,430.4754999998295,121.43359375,ok
Medium (50k),50000,Additive(ETS),4,7.57829830000037,408.36339999987104,121.5,ok
Medium (50k),50000,Additive(ETS),5,7.39474730000029,479.1725999998562,120.8671875,ok
Medium (50k),50000,SARIMA,1,177.31501200000002,6.449700000075609,3813.97265625,ok
Medium (50k),50000,SARIMA,2,172.79481710000005,5.906699999968623,3787.62890625,ok
Medium (50k),50000,SARIMA,3,177.58007750000002,5.499699999973018,3786.6875,ok
Medium (50k),50000,SARIMA,4,166.6729704999998,5.283899999994901,3691.15625,ok
Medium (50k),50000,SARIMA,5,170.91695119999986,6.814200000007986,3654.8828125,ok
Medium (50k),50000,XGBoost,1,0.49243440000009286,121.53239999997822,139.0546875,ok
Medium (50k),50000,XGBoost,2,0.5337177000001248,181.91999999999098,163.0859375,ok
Medium (50k),50000,XGBoost,3,0.5541406000002098,64.39610000006724,217.3359375,ok
Medium (50k),50000,XGBoost,4,0.5210246999999981,70.41389999994863,218.171875,ok
Medium (50k),50000,XGBoost,5,0.5397324999999,69.14080000024114,218.54296875,ok
Large (100k),100000,ARIMA,1,16.171584600000187,4.058999999870139,363.90234375,ok
Large (100k),100000,ARIMA,2,16.993675600000188,5.221800000072108,363.1796875,ok
Large (100k),100000,ARIMA,3,16.18437360000007,4.3488999999681255,363.55859375,ok
Large (100k),100000,ARIMA,4,16.05658940000012,4.7804000000724045,363.4921875,ok
Large (100k),100000,ARIMA,5,15.696425499999805,3.9148999999270018,363.03515625,ok
Large (100k),100000,Additive(ETS),1,16.01118009999982,752.8651000002355,33.72265625,ok
Large (100k),100000,Additive(ETS),2,17.45918589999974,888.1090999998378,40.62890625,ok
Large (100k),100000,Additive(ETS),3,16.446761799999877,827.4286000000757,36.390625,ok
Large (100k),100000,Additive(ETS),4,17.02311550000013,987.1478000000025,36.4609375,ok
Large (100k),100000,Additive(ETS),5,16.517277899999954,718.7166000003344,37.25390625,ok
Large (100k),100000,SARIMA,1,213.92215959999976,7.599300000038056,7196.515625,ok
Large (100k),100000,SARIMA,2,301.4596051000003,13.80010000002585,7101.29296875,ok
Large (100k),100000,SARIMA,3,312.50368830000025,18.17029999983788,7103.2265625,ok
Large (100k),100000,SARIMA,4,308.86418159999994,9.120700000039506,7100.8046875,ok
Large (100k),100000,SARIMA,5,300.15932619999967,21.676100000149745,7102.09765625,ok
Large (100k),100000,XGBoost,1,0.521374200000082,55.0770999998349,62.44921875,ok
Large (100k),100000,XGBoost,2,0.4709373999999116,52.30530000017097,64.5625,ok
Large (100k),100000,XGBoost,3,0.49090239999986807,49.93869999998424,68.39453125,ok
Large (100k),100000,XGBoost,4,0.4713720999998259,55.552499999976135,68.5859375,ok
Large (100k),100000,XGBoost,5,0.43065149999983987,47.04570000012609,65.7265625,ok
