Dataset,Rows,Model,Training Time (s),Inference Time (ms/batch),Peak Memory (MB)
Small (10k),10000,ARIMA,1.0873171799999,2.7866000000358326,180.67734375
Small (10k),10000,Additive(ETS),1.1050412600000528,73.5399399999551,167.54296875
Small (10k),10000,SARIMA,27.785665100000006,4.334759999983362,873.1703125
Small (10k),10000,XGBoost,0.2509904799999731,57.8820000000178,276.6984375
Medium (50k),50000,ARIMA,6.018835739999986,3.1065400000443333,352.45625
Medium (50k),50000,Additive(ETS),7.443174000000181,445.817199999874,120.965625
Medium (50k),50000,SARIMA,173.05596565999994,5.990840000004027,3746.865625
Medium (50k),50000,XGBoost,0.5282099800000651,101.48064000004524,191.23828125
Large (100k),100000,ARIMA,16.220529740000075,4.464999999981956,363.43359375
Large (100k),100000,Additive(ETS),16.691504239999905,834.8534400000972,36.89140625
Large (100k),100000,SARIMA,287.38179216,14.073300000018207,7120.7875
Large (100k),100000,XGBoost,0.47704751999990547,51.98386000001847,65.94375
